female,race_white,race_black,race_hisp,race_asian,educ,age,income,region,dem,rep,ideology,interest_pol,conf_wh,conf_cong,conf_sc,conf_mil,conf_crim,conf_med,conf_wh_w2,conf_cong_w2,conf_sc_w2,conf_mil_w2,conf_crim_w2,conf_med_w2,news_nat,fake_news,fox_news,breit_news,tot_news,fake_exp,conf_gov,conf_gov_w2,weight
0,1,0,0,0,6,61,10,3,1,0,2,5,1,1,2,4,4,2,1,2,3,4,3,2,4,1,1,0,6.302618976,Not exposed,2.4,2.6,0.4
0,1,0,0,0,2,61,3,1,1,0,2,2,2,2,3,2,2,2,3,4,3,2,3,2,2,0,0,0,4.804021045,Not exposed,2.2,3,0.83927308
0,0,0,0,0,4,25,10,2,0,0,5,5,4,2,4,4,3,4,4,2,4,4,3,4,4,0,1,1,7.68017564,Exposed,3.4,3.4,0.531169203
1,0,1,0,0,3,20,1,2,1,0,1,3,1,3,1,2,2,3,2,3,2,1,1,2,3,0,0,0,6.652863029,Not exposed,1.8,1.8,1.401338931
0,0,0,0,1,3,18,4,1,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,0,6.507277712,Not exposed,2,2,0.708933252
0,1,0,0,0,2,52,4,3,0,0,3,4,3,3,4,4,4,2,3,3,4,5,4,2,4,1,1,0,6.17586727,Not exposed,3.6,3.8,0.889550171
0,1,0,0,0,3,43,4,2,0,1,3,4,2,2,3,4,3,3,2,2,3,3,2,3,3,0,0,0,5.361292166,Not exposed,2.8,2.4,0.785101456
0,0,0,0,1,4,29,6,4,1,0,1,4,2,3,3,3,3,1,2,3,4,4,3,1,4,1,1,0,7.595889918,Exposed,2.8,3.2,1.450969792
1,1,0,0,0,2,25,3,3,0,1,5,3,3,3,3,5,3,2,3,3,3,5,3,2,3,1,1,0,7.276556403,Not exposed,3.4,3.4,1.761595073
1,1,0,0,0,6,58,12,3,1,0,1,5,2,3,1,4,3,2,3,4,4,4,4,1,4,0,0,0,4.532599493,Not exposed,2.6,3.8,0.4
1,1,0,0,0,1,23,2,3,1,0,2,4,1,1,1,1,1,4,3,3,3,3,3,2,3,0,0,0,2.63905733,Not exposed,1,3,4
0,1,0,0,0,5,65,2,1,0,1,5,4,5,3,4,3,2,4,4,1,4,4,3,3,3,0,1,1,6.933423026,Exposed,3.4,3.2,0.522449402
0,1,0,0,0,3,37,4,3,1,0,1,5,1,1,2,1,2,2,1,2,3,1,2,2,4,1,1,0,7.739359203,Exposed,1.4,1.8,0.460829934
0,1,0,0,0,6,39,6,3,0,1,4,5,4,2,5,5,2,3,2,1,3,3,2,3,4,1,1,1,4.406719247,Exposed,3.6,2.2,0.4
0,1,0,0,0,5,52,11,4,1,0,1,5,1,2,2,3,3,2,1,2,3,3,3,2,4,0,0,0,7.18690102,Not exposed,2.2,2.4,0.482938253
1,0,0,1,0,3,21,10,1,1,0,1,4,2,2,2,2,2,2,2,3,3,3,3,2,4,1,1,1,6.293419279,Exposed,2,2.8,3.214355248
1,1,0,0,0,6,59,10,1,1,0,1,5,1,1,2,3,3,1,2,3,3,4,3,1,4,1,0,0,6.202535517,Exposed,2,3,0.4
0,1,0,0,0,6,55,12,2,1,0,2,5,2,2,2,3,3,1,3,3,4,4,3,2,4,0,0,0,0,Not exposed,2.4,3.4,0.4
0,1,0,0,0,6,44,12,4,1,0,2,4,1,2,2,4,5,1,1,3,4,5,5,1,4,0,0,0,5.379897354,Not exposed,2.8,3.6,0.478030831
0,1,0,0,0,5,60,14,4,1,0,1,5,1,1,2,3,3,2,1,2,2,4,3,3,4,1,1,0,7.325148958,Exposed,2,2.4,0.482938253
0,1,0,0,0,6,36,13,1,0,1,4,5,5,3,5,5,4,2,4,3,4,4,4,4,4,0,1,0,2.397895273,Not exposed,4.4,3.8,0.4
1,1,0,0,0,5,54,9,2,0,1,4,5,5,3,3,4,3,4,4,3,3,4,3,4,3,1,1,0,5.940171253,Exposed,3.6,3.4,0.52441144
1,1,0,0,0,6,41,7,4,1,0,1,2,1,1,3,3,2,1,2,2,3,3,3,1,3,0,0,0,5.905361848,Not exposed,2,2.6,0.684826779
0,1,0,0,0,3,37,10,2,0,1,5,4,3,3,3,3,3,3,3,3,3,4,3,3,3,1,1,1,7.569411792,Exposed,3,3.2,0.785101456
0,1,0,0,0,4,59,4,4,0,1,5,4,3,2,3,4,3,3,3,3,3,4,3,3,3,0,1,1,7.123672785,Exposed,3,3.2,0.510707207
1,1,0,0,0,2,36,2,2,0,1,5,2,5,3,5,5,2,4,5,3,5,5,2,3,1,0,0,0,0,Not exposed,4,4,3.024766273
0,0,1,0,0,6,55,4,1,1,0,2,4,3,3,3,3,3,2,3,3,4,5,4,2,3,1,1,0,4.836281907,Not exposed,3,3.8,0.4
0,1,0,0,0,1,58,10,4,0,1,5,5,4,2,5,5,3,3,5,1,4,5,4,4,4,1,1,0,6.124683391,Not exposed,3.8,3.8,4
0,1,0,0,0,6,33,6,3,1,0,1,4,2,2,2,1,1,1,1,1,2,1,1,2,4,1,0,0,8.196161139,Exposed,1.6,1.2,0.4
0,1,0,0,0,6,35,9,4,1,0,5,4,2,3,1,4,3,2,2,4,4,3,3,3,3,1,0,0,8.713253274,Exposed,2.6,3.2,0.478030831
0,1,0,0,0,1,59,2,3,0,1,5,3,4,3,4,4,3,4,5,2,2,4,3,3,2,0,0,0,4.859812404,Not exposed,3.6,3.2,2.744954263
1,1,0,0,0,6,31,9,1,1,0,1,5,2,3,3,3,3,2,2,3,4,4,3,2,4,1,1,0,6.577861358,Exposed,2.8,3.2,0.4
0,1,0,0,0,3,19,10,1,1,0,2,5,1,3,3,4,2,2,2,3,4,3,3,1,4,1,1,0,7.247792582,Exposed,2.6,3,0.4
1,0,1,0,0,1,51,2,1,0,1,3,4,4,4,4,4,4,1,4,4,4,4,4,1,4,1,0,0,5.641907071,Not exposed,4,4,4
1,0,1,0,0,2,34,2,3,1,0,2,2,2,3,3,2,4,2,3,3,3,5,4,2,3,0,1,0,4.564348191,Not exposed,2.8,3.6,2.774311921
1,0,0,0,1,5,30,8,3,0,1,1,5,3,2,2,2,3,2,3,3,2,4,3,3,3,0,1,0,6.508769137,Not exposed,2.4,3,0.870509591
1,1,0,0,0,6,39,11,1,1,0,1,5,1,1,2,4,3,1,3,2,3,4,3,1,4,1,0,0,4.86753445,Not exposed,2.2,3,0.4
0,1,0,0,0,2,46,6,3,0,1,5,5,5,4,4,4,3,2,5,5,5,5,5,2,2,1,0,0,6.613384218,Not exposed,4,5,0.889550171
0,1,0,0,0,6,24,7,2,1,0,1,5,1,2,2,3,2,1,1,1,3,3,2,1,4,0,1,0,8.942460927,Exposed,2,2,0.4
0,0,1,0,0,3,37,2,3,1,0,2,4,1,2,2,3,2,2,1,1,1,3,2,2,4,0,0,0,4.17438727,Not exposed,2,1.6,0.720806755
0,0,0,0,1,5,32,7,2,0,1,5,5,3,2,3,4,4,3,3,3,3,4,4,3,4,1,1,0,6.513230111,Exposed,3.2,3.4,1.03622512
0,1,0,0,0,4,40,4,4,0,1,5,4,3,3,3,4,4,2,3,3,3,4,4,3,4,1,0,0,4.795790546,Exposed,3.4,3.4,0.700874796
1,1,0,0,0,6,43,16,3,0,1,5,5,3,3,3,3,2,3,3,3,3,4,2,3,4,0,1,0,5.811140993,Exposed,2.8,3,0.4
0,1,0,0,0,2,64,8,3,0,1,4,5,3,3,4,4,4,2,3,3,4,5,3,3,4,1,1,1,7.220373837,Exposed,3.6,3.6,0.889550171
1,1,0,0,0,3,28,4,3,0,1,5,4,5,5,4,5,4,2,5,4,3,5,2,2,4,1,0,0,6.255750042,Exposed,4.6,3.8,0.660000057
1,0,0,0,0,5,54,4,3,1,0,1,4,1,1,2,3,2,2,1,2,3,4,3,2,4,0,0,0,5.874930731,Not exposed,1.8,2.6,0.4
1,1,0,0,0,1,27,1,3,0,1,5,3,2,2,2,2,2,4,1,1,1,1,1,4,3,0,0,0,6.80461452,Exposed,2,1,4
1,1,0,0,0,3,21,11,3,1,0,2,4,2,2,2,3,2,3,2,3,2,3,3,3,3,1,1,0,6.533788838,Exposed,2.2,2.6,0.522859234
1,1,0,0,0,2,20,11,3,1,0,1,4,1,2,2,3,4,3,2,2,3,4,2,2,3,0,0,0,4.025351691,Not exposed,2.4,2.6,1.391467119
1,0,0,1,0,5,23,11,3,1,0,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,1,1,0,5.093750201,Exposed,2.8,2.8,2.166666178
1,1,0,0,0,2,21,2,2,0,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,0,0,0,2.302585093,Not exposed,3,3,2.387477855
0,1,0,0,0,2,70,3,2,0,1,5,3,5,4,4,4,4,3,5,2,1,5,2,3,3,0,1,1,7.217443432,Exposed,4.2,3,3.981321009
0,1,0,0,0,2,53,1,1,0,1,3,3,5,1,5,5,3,3,5,1,5,5,3,4,4,1,1,0,5.726847748,Exposed,3.8,3.8,0.83927308
0,1,0,0,0,4,40,6,2,0,1,5,5,5,3,5,5,5,3,4,2,5,3,4,2,4,1,1,1,7.520776415,Exposed,4.6,3.6,0.531169203
0,1,0,0,0,3,71,4,2,0,1,4,5,4,4,4,5,4,3,5,4,4,5,5,3,4,1,1,1,5.241747015,Exposed,4.2,4.6,1.482458985
0,0,0,0,1,6,51,12,1,1,0,1,4,1,2,2,2,3,2,1,3,3,3,3,2,4,0,0,0,7.089243155,Not exposed,2,2.6,0.4
1,1,0,0,0,5,64,12,3,0,1,5,3,4,3,2,1,2,1,3,2,1,2,3,1,3,0,0,0,6.466144724,Not exposed,2.4,2.2,0.4
0,1,0,0,0,3,57,4,4,0,1,5,3,4,3,4,4,3,4,4,3,4,5,3,4,4,0,1,1,6.96979067,Exposed,3.6,3.8,0.754639337
0,0,1,0,0,5,58,11,3,1,0,2,5,1,1,2,3,2,2,1,2,2,2,1,2,4,1,0,0,6.476972363,Not exposed,1.8,1.6,0.4
0,0,0,0,0,4,40,6,3,0,1,4,4,3,4,4,5,2,3,3,3,4,5,2,2,3,1,0,0,4.770684624,Not exposed,3.6,3.4,0.4
0,0,0,0,1,2,30,9,4,0,1,2,4,4,4,4,3,4,2,4,4,3,4,3,2,3,1,1,0,5.288267031,Not exposed,3.8,3.6,4
0,1,0,0,0,6,68,11,3,0,1,3,5,5,4,4,4,2,3,5,2,5,5,3,4,4,0,1,0,6.315358002,Exposed,3.8,4,0.4
